poi_id,name,type,lon,lat,district
B0FFGMG81C,中国航油集团津京管道运输有限责任公司(进场路南一道),物流速递,117.338568,39.117276,东丽区
B0L0OUIVJI,顺丰速运(机场店),物流速递,117.33746,39.120958,东丽区
B0FFIPKVQR,吉顺和物流,物流速递,117.35546,39.228813,东丽区
B0FFM8XZH6,中国邮政,物流速递,117.338884,39.168908,东丽区
B0FFFSD5EX,天津市宽成运输有限公司,物流速递,117.366499,39.091414,东丽区
B0FFKTRKQ5,壹米滴答(跃进路店),物流速递,117.288095,39.20599,东丽区
B0J30U3SCV,顺丰速运(华新街店),物流速递,117.422834,39.163381,东丽区
B0FFL8FCPB,天津市阳光物流有限公司(江苏安徽专线),物流速递,117.356325,39.230059,东丽区
B0FFGI7HYD,安捷物流,物流速递,117.289192,39.19024,东丽区
B0016115M3,万利运输公司,物流速递,117.343213,39.075081,东丽区
B0GKSUMTZV,唐山智通专线,物流速递,117.356638,39.230335,东丽区
B0FFKWBI14,快递驿站,物流速递,117.343953,39.087719,东丽区
B0KGTSCW0O,顺丰速运(保利店),物流速递,117.265972,39.162177,东丽区
B0FFKQKLRI,菜鸟驿站(黄岩里北区店),物流速递,117.301732,39.089293,东丽区
B0FFM4ENM7,鸿裕物流,物流速递,117.378225,39.225803,东丽区
B00161C5RU,天津市江浩物流有限公司,物流速递,117.519633,39.044891,东丽区
B0GR3SIK3L,天津滨海东旺运输有限公司,物流速递,117.442575,39.050825,东丽区
B0FFJNEDJ3,菜鸟驿站(万科揽城苑店),物流速递,117.510023,39.178994,东丽区
B0FFLFGGQO,天津三合旺物流有限公司,物流速递,117.35517,39.231895,东丽区
B0H12OCBYO,菜鸟驿站(天津生物工程职业技术学院店),物流速递,117.543325,39.075225,东丽区
B0JGRA2226,佳博物流,物流速递,117.356543,39.226867,东丽区
B0HUCOUKGI,菜鸟驿站(丽秀华庭店),物流速递,117.324975,39.077475,东丽区
B0FFH8HQ98,中国邮政(华明邮政所),物流速递,117.393379,39.171062,东丽区
B0JK7CO4JQ,菜鸟速递天津万新站,物流速递,117.299993,39.136438,东丽区
B0J0NHFO49,宝航(天津)仓储分拨中心,物流速递,117.354418,39.226933,东丽区
B001616UZC,天津木村进和物流有限公司,物流速递,117.424379,39.14705,东丽区
B0J3YHC9DE,天津华鑫诺物流有限公司,物流速递,117.445732,39.039857,东丽区
B0G0J5JAG7,天津恒源顺通物流有限公司,物流速递,117.355875,39.228825,东丽区
B0FFJ6VYGI,壹米滴答(津塘公路店),物流速递,117.372026,39.075702,东丽区
B0FFJKXK5W,菜鸟驿站(天津东丽区徐庄子店),物流速递,117.256817,39.185025,东丽区
B0FFJGLBE7,菜鸟驿站(昆俞欣园店),物流速递,117.28944,39.1655,东丽区
B0FFHLCNSD,菜鸟驿站(景欣苑店),物流速递,117.309475,39.094975,东丽区
B0JD4HMY6P,京东快递(天津太阳城网格仓站),物流速递,117.300506,39.151112,东丽区
B0G2C7A4KT,天津市盛达物流庄河专线,物流速递,117.353975,39.232425,东丽区
B0H3TXOXS0,菜鸟驿站(橡树湾仰润轩店),物流速递,117.4005,39.17333,东丽区
B0HGU5FHN2,天津市津南区川宇物流有限公司,物流速递,117.435572,39.057126,东丽区
B001605SQV,军粮城邮政支局,物流速递,117.457093,39.058757,东丽区
B0JAYUGHRG,天津赛昕物流,物流速递,117.354475,39.223825,东丽区
B0FFKBVX9E,菜鸟驿站(悦和里店),物流速递,117.258626,39.20358,东丽区
B0L3PZG8QQ,天津滨海国际航空物流有限公司(北一路),物流速递,117.354578,39.135727,东丽区
B0KDG5HS5O,久远物流天津分公司,物流速递,117.405496,39.176732,东丽区
B0GKS5LBR7,冯岩顺通,物流速递,117.356503,39.228856,东丽区
B0FFHA2BXF,叶水福天津空港物流园(东区),物流速递,117.373823,39.15338,东丽区
B0FFH5Q0KB,菜鸟驿站(蓝庭公寓店),物流速递,117.368253,39.084228,东丽区
B0HRVOE9TL,极兔速递天津东丽大毕庄网点(金河家园店),物流速递,117.279085,39.208318,东丽区
B0KUJXN69I,菜鸟驿站(仁欣家园店),物流速递,117.410526,39.07017,东丽区
B0IKKAQ1JA,尚妍养生,医疗保健服务,117.401025,39.149875,东丽区
B0IUGAKPIW,康吉医疗器械,医疗保健服务,117.328224,39.088629,东丽区
B0IUTH4DEV,天津西图之美医疗器械科技有限公司,医疗保健服务,117.393212,39.129074,东丽区
B0KRJ1BN61,乾亿医疗器械(天津店),医疗保健服务,117.395946,39.146807,东丽区
B0FFK3RS0Z,麦当劳(SM天津滨海城市广场店),快餐厅,117.41827,39.159354,东丽区
B0LA6C6YVL,柳州肥姨妈大骨螺蛳粉(天津空港店),快餐厅,117.395747,39.158479,东丽区
B0L14922FY,渔人张·斑鱼海鲜粥火锅,快餐厅,117.403682,39.155241,东丽区
B0J0N5CKAB,小海港海鲜.鲜虾水饺(空港店),快餐厅,117.400882,39.149452,东丽区
B0HU2PSK02,比格比萨自助(天津东丽万达店),快餐厅,117.325918,39.080699,东丽区
B0H04S7X8M,禾之鲜回転寿司(SM天津滨海城市广场店),快餐厅,117.418725,39.158113,东丽区
B0H2A78SDT,米村拌饭(东丽万达店),快餐厅,117.324441,39.080949,东丽区
B0K316JSD9,柳州肥姨妈大骨螺蛳粉(利津路店),快餐厅,117.308467,39.090096,东丽区
B001612UCT,麦当劳(利津路餐厅),快餐厅,117.308189,39.08897,东丽区
B0FFFV85CD,津门张记包子铺(先锋路店),快餐厅,117.308877,39.084797,东丽区
B0FFI5F786,马子禄牛肉面(空港店),快餐厅,117.39541,39.157957,东丽区
B0L0D6L52V,紫光园清真北京小吃(惠山道档口店),快餐厅,117.30899,39.105854,东丽区
B0JR6YKSJH,比格比萨自助(天津滨海SM店),快餐厅,117.419291,39.156396,东丽区
B0JUYAO8SS,米村拌饭(瑞航广场店),快餐厅,117.394895,39.158333,东丽区
B0FFFVMWHS,马有才牛肉面的故事(先锋路店),快餐厅,117.309717,39.084711,东丽区
B0H2TAOY17,赵奶奶水饺锅贴(空港店),快餐厅,117.395254,39.157486,东丽区
B0FFG10D1V,麦当劳(卫国道FSDT GS餐厅),快餐厅,117.30263,39.152624,东丽区
B0L2JU7BLF,麦香铁锅焖面(利津路店),快餐厅,117.308484,39.090054,东丽区
B0KD1B1DO8,楠塔纳小锅米线(东丽店),快餐厅,117.315941,39.086949,东丽区
